polarity,subjectivity,num_reactions,length,num_words,month,dow,tod
-0.6999999999999998,0.6666666666666666,3,30,6,3,6,17
0.0,0.0,5,37,8,2,2,10
-0.4,0.7,11,74,15,2,1,14
-0.15000000000000002,0.5,2,25,4,2,3,8
0.0,0.0,0,14,3,2,1,16
0.0,0.0,2,46,8,2,5,18
0.0,0.0,1,76,1,2,2,12
0.5,0.5,1,18,2,2,1,10
0.0,0.0,0,4,1,2,0,6
0.5,0.5,7,56,10,2,0,6
0.25,0.3,0,5,1,1,4,8
0.0,0.0,0,23,4,1,3,5
0.0,0.0,0,5,1,1,1,18
0.0,0.0,0,4,1,1,1,10
0.3,0.2,2,22,4,12,5,6
0.625,0.5,8,18,4,12,5,14
-0.1,0.6,0,92,16,12,3,7
0.0,0.3125,4,64,10,12,6,18
0.0,0.0,1,45,7,12,3,17
0.8,0.7,1,19,5,12,3,17
0.9,0.9,0,65,11,12,2,17
0.04999999999999999,0.4,1,12,2,12,0,21
0.1,0.5,2,105,16,12,0,18
-0.3,0.6,1,48,8,12,4,18
0.0,0.0,7,53,9,12,2,20
1.0,0.7,0,29,5,12,6,10
0.75,0.75,10,33,7,11,2,6
0.0,0.0,1,16,3,11,6,5
-0.02500000000000005,0.5333333333333333,7,28,7,11,5,16
0.0,0.0,1,35,1,11,2,15
0.35606060606060613,0.5799242424242425,2,200,34,11,6,20
0.0,0.0,5,40,8,11,4,21
0.0,0.0,4,8,1,11,4,15
0.31666666666666665,0.6000000000000001,2,50,9,11,3,10
0.25,0.3,1,5,1,11,2,19
-0.5,1.0,0,4,1,11,2,19
0.0,0.0,4,23,4,11,5,5
0.16666666666666669,0.3333333333333333,24,103,20,11,4,13
0.0,0.0,0,42,1,10,4,19
1.0,1.0,11,15,4,10,3,7
0.0,0.0,16,123,28,10,4,9
0.0,0.2,9,32,3,10,3,11
0.0,0.0,61,32,7,10,2,7
0.0,0.0,2,13,1,10,5,14
0.0,0.0,2,10,1,10,5,14
0.0375,0.4166666666666667,16,147,27,10,1,21
0.3333333333333333,0.21666666666666665,11,149,28,9,0,12
-0.08333333333333333,0.08333333333333333,6,85,15,9,0,7
0.1,0.2,28,36,6,8,4,16
0.0,0.0,30,30,4,8,6,8
0.0,0.0,1,18,2,8,5,13
0.0,0.3,24,54,8,6,1,6
0.0,0.0,0,5,1,5,1,8
0.0,0.0,0,1,1,5,1,8
0.0,0.0,0,6,1,5,1,8
0.0,0.0,0,2,1,5,1,8
0.0,0.0,0,7,2,5,1,8
0.0,0.0,0,3,1,5,1,8
0.0,0.0,0,7,1,5,0,18
0.0,0.0,0,6,1,5,0,18
0.0,0.0,0,6,1,4,4,12
0.0,0.0,0,12,3,3,3,21
0.0,0.0,1,5,1,3,3,20
-0.2,0.35,0,31,7,3,3,20
0.3,0.2,0,22,5,3,5,7
0.25,0.3333333333333333,18,11,2,3,4,8
1.0,0.3,1,23,5,2,6,19
0.0,0.0,0,22,5,2,5,16
0.0,0.0,4,46,10,2,4,4
-0.09,0.4780952380952382,4,264,43,2,0,19
0.5,1.0,39,15,3,1,0,11
-0.35,0.1,11,24,5,1,4,10
-0.35,0.1,11,24,5,12,6,6
0.0,0.0,169,21,4,12,2,3
0.0,0.0,1,9,2,4,5,23
0.0,0.0,0,36,8,3,5,11
0.25,0.3,1,5,1,3,6,11
0.225,0.45,0,101,19,2,0,14
0.0,0.0,0,18,3,2,0,9
